精选题号,章节,原题号,题干,答案,正确选项,原题链接,配图
66,信号、标志、标线与交警手势,46,前方路口这种信号灯亮表示什么意思？,B,B、禁止通行,https://www.aijiaxiao.com/tiba/46/,images/76d8b8faa139f0e9.jpg
67,信号、标志、标线与交警手势,47,前方路口这种信号灯亮表示什么意思？,A,A、路口警示,https://www.aijiaxiao.com/tiba/47/,images/03b4fdee204821c2.jpg
68,信号、标志、标线与交警手势,48,前方路口这种信号灯亮表示什么意思？,C,C、准许通行,https://www.aijiaxiao.com/tiba/48/,images/60b2f4bcb49673af.jpg
69,信号、标志、标线与交警手势,49,交通信号包括交通信号灯、交通标志、交通标线和交通警察的指挥。,A,A、正确,https://www.aijiaxiao.com/tiba/49/,
70,信号、标志、标线与交警手势,52,道路交通标线分为指示标线、警告标线、禁止标线。,A,A、正确,https://www.aijiaxiao.com/tiba/52/,
71,信号、标志、标线与交警手势,53,驾驶机动车在这种道路上如何通行？,B,B、在道路中间通行,https://www.aijiaxiao.com/tiba/53/,images/9437f50ddcd80109.jpg
72,信号、标志、标线与交警手势,54,道路上划设这种标线的车道内允许下列哪类车辆通行？,C,C、公交车,https://www.aijiaxiao.com/tiba/54/,images/005f15e4287601fa.jpg
73,信号、标志、标线与交警手势,55,驾驶机动车在路口遇到这种情况如何行驶？,D,D、停车等待,https://www.aijiaxiao.com/tiba/55/,images/74bec07784528ec1.jpg
74,信号、标志、标线与交警手势,56,有这种信号灯的路口允许机动车如何行驶？,C,C、向右转弯,https://www.aijiaxiao.com/tiba/56/,images/074adfc362d70b3c.jpg
75,信号、标志、标线与交警手势,57,遇到这种情况的路口怎样通过？,D,D、确认安全后通过,https://www.aijiaxiao.com/tiba/57/,images/1b83e4733ed91ce1.jpg
76,信号、标志、标线与交警手势,58,这段道路红车所在车道是什么车道？,A,A、快速车道,https://www.aijiaxiao.com/tiba/58/,images/ba5d2dc30a7bbfd6.jpg
77,信号、标志、标线与交警手势,64,驾驶机动车不能进入红色叉形灯或者红色箭头灯亮的车道。,A,A、正确,https://www.aijiaxiao.com/tiba/64/,
78,信号、标志、标线与交警手势,591,驾驶机动车遇到这种信号灯不断闪烁时怎样行驶？,C,C、注意瞭望安全通过,https://www.aijiaxiao.com/tiba/591/,images/7511cd2042ac4256.jpg
79,信号、标志、标线与交警手势,594,驾驶机动车在铁路道口看到这种信号灯时怎样行驶？,D,D、不得越过停止线,https://www.aijiaxiao.com/tiba/594/,images/3d2e7ef40ba87dfb.jpg
80,信号、标志、标线与交警手势,595,在铁路道口遇到两个红灯交替闪烁时要停车等待。,A,A、正确,https://www.aijiaxiao.com/tiba/595/,images/a8c98808e9b405fd.jpg
81,信号、标志、标线与交警手势,597,这属于哪一种标志？,A,A、警告标志,https://www.aijiaxiao.com/tiba/597/,images/8f674f1ad8549a7b.jpg
82,信号、标志、标线与交警手势,598,这个标志是何含义？,C,C、十字交叉路口,https://www.aijiaxiao.com/tiba/598/,images/1297bdcbb1155949.jpg
83,信号、标志、标线与交警手势,601,这个标志是何含义？,A,A、向左急转弯,https://www.aijiaxiao.com/tiba/601/,images/946ba7c62c825375.jpg
84,信号、标志、标线与交警手势,603,这是什么交通标志？,D,D、连续弯路,https://www.aijiaxiao.com/tiba/603/,images/efc871027fa3d48f.jpg
85,信号、标志、标线与交警手势,605,这个标志是何含义？,C,C、下陡坡,https://www.aijiaxiao.com/tiba/605/,images/c00dbc8024ee07b6.jpg
86,信号、标志、标线与交警手势,607,这是什么交通标志？,A,A、两侧变窄,https://www.aijiaxiao.com/tiba/607/,images/ec3959b3e23c23b4.jpg
87,信号、标志、标线与交警手势,610,这个标志是何含义？,D,D、窄桥,https://www.aijiaxiao.com/tiba/610/,images/bfc7d959e8eebf5f.jpg
88,信号、标志、标线与交警手势,611,这个标志是何含义？,A,A、双向交通,https://www.aijiaxiao.com/tiba/611/,images/51d2e4a86d8501ef.jpg
89,信号、标志、标线与交警手势,612,这个标志是何含义？,B,B、注意行人,https://www.aijiaxiao.com/tiba/612/,images/3c41ecbb8b65c817.jpg
90,信号、标志、标线与交警手势,613,这个标志是何含义？,C,C、注意儿童,https://www.aijiaxiao.com/tiba/613/,images/d915c46c65679e1a.jpg
91,信号、标志、标线与交警手势,616,这个标志是何含义？,B,B、注意信号灯,https://www.aijiaxiao.com/tiba/616/,images/f7b04f6a93996f7e.jpg
92,信号、标志、标线与交警手势,617,这个标志是何含义？,C,C、注意落石,https://www.aijiaxiao.com/tiba/617/,images/8f7921067e2e8db8.jpg
93,信号、标志、标线与交警手势,619,这个标志是何含义？,B,B、易滑路段,https://www.aijiaxiao.com/tiba/619/,images/be2abb9699751b98.jpg
94,信号、标志、标线与交警手势,623,这个标志是何含义？,D,D、隧道,https://www.aijiaxiao.com/tiba/623/,images/22c65cc1f0d18092.jpg
95,信号、标志、标线与交警手势,629,这个标志是何含义？,A,A、过水路面,https://www.aijiaxiao.com/tiba/629/,images/c108c1ec23f8ec29.jpg
96,信号、标志、标线与交警手势,630,这个标志是何含义？,B,B、有人看守铁路道口,https://www.aijiaxiao.com/tiba/630/,images/52591bb76bc7f9bf.jpg
97,信号、标志、标线与交警手势,631,这个标志是何含义？,C,C、无人看守铁路道口,https://www.aijiaxiao.com/tiba/631/,images/a67cf05651c4120e.jpg
98,信号、标志、标线与交警手势,636,这个标志是何含义？,D,D、注意非机动车,https://www.aijiaxiao.com/tiba/636/,images/3363e8306ebb56ea.jpg
99,信号、标志、标线与交警手势,644,这个标志是何含义？,B,B、施工路段,https://www.aijiaxiao.com/tiba/644/,images/ccd45fdfbf6d6f63.jpg
100,信号、标志、标线与交警手势,646,这个标志是何含义？,C,C、隧道开灯,https://www.aijiaxiao.com/tiba/646/,images/962d22d8334fe46d.jpg
101,信号、标志、标线与交警手势,652,这属于哪一种标志？,B,B、禁令标志,https://www.aijiaxiao.com/tiba/652/,images/616bc1c56e7522d1.jpg
102,信号、标志、标线与交警手势,654,这个标志是何含义？,C,C、停车让行,https://www.aijiaxiao.com/tiba/654/,images/d209462e6e2d6f9e.jpg
103,信号、标志、标线与交警手势,655,这个标志是何含义？,D,D、减速让行,https://www.aijiaxiao.com/tiba/655/,images/48d11d3d845ee16a.jpg
104,信号、标志、标线与交警手势,656,这个标志是何含义？,A,A、会车时停车让对方车先行,https://www.aijiaxiao.com/tiba/656/,images/383bcba7f7e906c9.jpg
105,信号、标志、标线与交警手势,657,这个标志是何含义？,B,B、禁止通行,https://www.aijiaxiao.com/tiba/657/,images/6dcb1eabc728b143.jpg
106,信号、标志、标线与交警手势,659,这个标志是何含义？,A,A、禁止向左转弯,https://www.aijiaxiao.com/tiba/659/,images/790df688efe17bc4.jpg
107,信号、标志、标线与交警手势,660,这个标志是何含义？,B,B、禁止向右转弯,https://www.aijiaxiao.com/tiba/660/,images/d87f17406eb1592d.jpg
108,信号、标志、标线与交警手势,665,这个标志是何含义？,B,B、禁止掉头,https://www.aijiaxiao.com/tiba/665/,images/1c69cd4ea16afaef.jpg
109,信号、标志、标线与交警手势,666,这个标志是何含义？,C,C、禁止超车,https://www.aijiaxiao.com/tiba/666/,images/0ec00239f3807dc7.jpg
110,信号、标志、标线与交警手势,668,这个标志是何含义？,D,D、禁止停放车辆,https://www.aijiaxiao.com/tiba/668/,images/42bf4632e8721d7a.jpg
111,信号、标志、标线与交警手势,669,这个标志是何含义？,C,C、禁止长时停车,https://www.aijiaxiao.com/tiba/669/,images/4416dd7229a75c01.jpg
112,信号、标志、标线与交警手势,670,这个标志是何含义？,C,C、禁止鸣喇叭,https://www.aijiaxiao.com/tiba/670/,images/a4d02a1a692546e9.jpg
113,信号、标志、标线与交警手势,673,这个标志是何含义？,B,B、限制最高时速40公里,https://www.aijiaxiao.com/tiba/673/,images/d64256652257ee1b.jpg
114,信号、标志、标线与交警手势,674,这个标志是何含义？,C,C、解除时速40公里限制,https://www.aijiaxiao.com/tiba/674/,images/e533959340473a93.jpg
115,信号、标志、标线与交警手势,675,这个标志是何含义？,D,D、停车检查,https://www.aijiaxiao.com/tiba/675/,images/91f6a9f8279c75d7.jpg
116,信号、标志、标线与交警手势,677,这属于哪一种标志？,C,C、指示标志,https://www.aijiaxiao.com/tiba/677/,images/0c13fb33df73be19.jpg
117,信号、标志、标线与交警手势,679,这个标志是何含义？,B,B、只准直行,https://www.aijiaxiao.com/tiba/679/,images/5a43cafa74c65518.jpg
118,信号、标志、标线与交警手势,682,这个标志是何含义？,A,A、直行和向右转弯,https://www.aijiaxiao.com/tiba/682/,images/b462c47f73024f0e.jpg
119,信号、标志、标线与交警手势,685,这个标志是何含义？,D,D、靠右侧道路行驶,https://www.aijiaxiao.com/tiba/685/,images/f0c521a5a98667fa.jpg
120,信号、标志、标线与交警手势,689,这个标志是何含义？,D,D、环岛行驶,https://www.aijiaxiao.com/tiba/689/,images/1c8edbe8b6e8ddaf.jpg
121,信号、标志、标线与交警手势,695,这个标志是何含义？,A,A、人行横道,https://www.aijiaxiao.com/tiba/695/,images/9907daf8bd656399.jpg
122,信号、标志、标线与交警手势,696,这个标志是何含义？,B,B、最低限速50公里/小时,https://www.aijiaxiao.com/tiba/696/,images/947fb29e9aac8892.jpg
123,信号、标志、标线与交警手势,697,这个标志是何含义？,C,C、干路先行,https://www.aijiaxiao.com/tiba/697/,images/700aaca9c62f38ec.jpg
124,信号、标志、标线与交警手势,698,这个标志是何含义？,D,D、会车先行,https://www.aijiaxiao.com/tiba/698/,images/21ae6b0fdd106bf7.jpg
125,信号、标志、标线与交警手势,707,这个标志是何含义？,A,A、公交线路专用车道,https://www.aijiaxiao.com/tiba/707/,images/57b63d2840c04ec2.jpg
126,信号、标志、标线与交警手势,715,这属于哪一类标志？,D,D、指路标志,https://www.aijiaxiao.com/tiba/715/,images/9b20020f16c3d09b.jpg
127,信号、标志、标线与交警手势,723,这个标志是何含义？,A,A、国道编号,https://www.aijiaxiao.com/tiba/723/,images/2f723ccff98c67f1.jpg
128,信号、标志、标线与交警手势,727,这个标志是何含义？,A,A、地点距离,https://www.aijiaxiao.com/tiba/727/,images/700d278fd65ca4e7.jpg
129,信号、标志、标线与交警手势,736,这个标志是何含义？,B,B、车道数变少,https://www.aijiaxiao.com/tiba/736/,images/f1a198f64bfc54af.jpg
130,信号、标志、标线与交警手势,744,这个标志是何含义？,B,B、高速公路入口预告,https://www.aijiaxiao.com/tiba/744/,images/7dccd7b12057ad60.jpg
131,信号、标志、标线与交警手势,748,这个标志是何含义？,A,A、高速公路下一出口预告,https://www.aijiaxiao.com/tiba/748/,images/dc1689ffb3ff47fc.jpg
132,信号、标志、标线与交警手势,751,这个标志是何含义？,A,A、高速公路起点,https://www.aijiaxiao.com/tiba/751/,images/8233d5a75f6ee215.jpg
133,信号、标志、标线与交警手势,755,这个标志是何含义？,D,D、设有ETC的收费站,https://www.aijiaxiao.com/tiba/755/,images/7bb195698708b14c.jpg
134,信号、标志、标线与交警手势,760,这个标志是何含义？,A,A、高速公路紧急停车带,https://www.aijiaxiao.com/tiba/760/,images/6cfeb656c6782f8e.jpg
135,信号、标志、标线与交警手势,762,这个标志是何含义？,B,B、高速公路服务区预告,https://www.aijiaxiao.com/tiba/762/,images/a8bba4abee7669d6.jpg
136,信号、标志、标线与交警手势,807,路中心黄色虚线的含义是分隔对向交通流，在保证安全的前提下，可越线超车或转弯。,A,A、正确,https://www.aijiaxiao.com/tiba/807/,images/618f0c459e8e8aeb.jpg
137,信号、标志、标线与交警手势,812,指示标线的作用是什么？,B,B、指示通行,https://www.aijiaxiao.com/tiba/812/,
138,信号、标志、标线与交警手势,813,路中白色虚线是什么标线？,C,C、可跨越同向车道中心线,https://www.aijiaxiao.com/tiba/813/,images/165963e20800161e.jpg
139,信号、标志、标线与交警手势,814,路中黄色分界线的作用是什么？,D,D、分隔对向行驶的交通流,https://www.aijiaxiao.com/tiba/814/,images/0d39454afaa6078f.jpg
140,信号、标志、标线与交警手势,815,路中两条双黄色虚线是什么标线？,C,C、潮汐车道线,https://www.aijiaxiao.com/tiba/815/,images/0fc1df7474cf77d9.jpg
141,信号、标志、标线与交警手势,818,图中圈内两条白色虚线是什么标线？,C,C、左弯待转区线,https://www.aijiaxiao.com/tiba/818/,images/b5903955df960edb.jpg
142,信号、标志、标线与交警手势,821,图中圈内白色实线是什么标线？,B,B、导向车道线,https://www.aijiaxiao.com/tiba/821/,images/cc7b6ef30875fb06.jpg
143,信号、标志、标线与交警手势,822,图中圈内的锯齿状白色实线是什么标线？,C,C、可变导向车道线,https://www.aijiaxiao.com/tiba/822/,images/adbd70b013758518.jpg
144,信号、标志、标线与交警手势,823,图中圈内的路面标记是什么标线？,D,D、人行横道线,https://www.aijiaxiao.com/tiba/823/,images/92542d23a4b295c4.jpg
145,信号、标志、标线与交警手势,824,这个地面标记是什么标线？,A,A、人行横道预告,https://www.aijiaxiao.com/tiba/824/,images/62074bb4b656db61.jpg
146,信号、标志、标线与交警手势,825,图中圈内的白色折线是什么标线？,B,B、车距确认线,https://www.aijiaxiao.com/tiba/825/,images/169e1c90c4600df7.jpg
147,信号、标志、标线与交警手势,829,这种白色矩形标线框含义是什么？,B,B、平行式停车位,https://www.aijiaxiao.com/tiba/829/,images/6da49af00bad3bb5.jpg
148,信号、标志、标线与交警手势,834,这个导向箭头是何含义？,D,D、指示直行,https://www.aijiaxiao.com/tiba/834/,images/825922a32088d6c0.jpg
149,信号、标志、标线与交警手势,845,这个路面数字标记是何含义？,C,C、速度限制标记,https://www.aijiaxiao.com/tiba/845/,images/70e0d31211d789bc.jpg
150,信号、标志、标线与交警手势,849,路中心的双黄实线属于哪一类标线？,D,D、禁止标线,https://www.aijiaxiao.com/tiba/849/,images/29cbd0d0a7196efb.jpg
151,信号、标志、标线与交警手势,850,路中心双黄实线是何含义？,B,B、禁止跨越对向车行道分界线,https://www.aijiaxiao.com/tiba/850/,images/889deadead7807f3.jpg
152,信号、标志、标线与交警手势,851,路中心黄色虚实线是何含义？,A,A、实线一侧禁止越线,https://www.aijiaxiao.com/tiba/851/,images/fd7f8386d446399d.jpg
153,信号、标志、标线与交警手势,853,路中心白色实线是何含义？,C,C、禁止跨越同向车行道分界线,https://www.aijiaxiao.com/tiba/853/,images/cbd72ece2e1b8a1d.jpg
154,信号、标志、标线与交警手势,854,路缘石上的黄色虚线是何含义？,C,C、禁止长时停车,https://www.aijiaxiao.com/tiba/854/,images/4fd9d03e51351915.jpg
155,信号、标志、标线与交警手势,855,路缘石上的黄色实线是何含义？,D,D、禁止停放车辆,https://www.aijiaxiao.com/tiba/855/,images/05ce9c2684d38728.jpg
156,信号、标志、标线与交警手势,856,图中圈内白色横实线是何含义？,A,A、停止线,https://www.aijiaxiao.com/tiba/856/,images/2e5a82622391bf37.jpg
157,信号、标志、标线与交警手势,857,路口最前端的双白实线是什么含义？,B,B、停车让行线,https://www.aijiaxiao.com/tiba/857/,images/40778e4fd86c7d7f.jpg
158,信号、标志、标线与交警手势,858,路口最前端的双白虚线是什么含义？,C,C、减速让行线,https://www.aijiaxiao.com/tiba/858/,images/c903a46f6567ec93.jpg
159,信号、标志、标线与交警手势,859,图中圈内三角填充区域是什么标线？,D,D、导流线,https://www.aijiaxiao.com/tiba/859/,images/f00e9d413a428a36.jpg
160,信号、标志、标线与交警手势,862,图中路口中央黄色路面标记是什么标线？,C,C、网状线,https://www.aijiaxiao.com/tiba/862/,images/c02229d9ad44d73b.jpg
161,信号、标志、标线与交警手势,872,这一组交通警察手势是什么信号？,B,B、停止信号,https://www.aijiaxiao.com/tiba/872/,images/c259b86741505d21.jpg
162,信号、标志、标线与交警手势,873,这一组交通警察手势是什么信号？,A,A、直行信号,https://www.aijiaxiao.com/tiba/873/,images/7a24067b2b92558f.jpg
163,信号、标志、标线与交警手势,874,这一组交通警察手势是什么信号？,C,C、左转弯信号,https://www.aijiaxiao.com/tiba/874/,images/36fa2e33b44c9833.jpg
164,信号、标志、标线与交警手势,879,这一组交通警察手势是什么信号？,C,C、变道信号,https://www.aijiaxiao.com/tiba/879/,images/16e1b635aca82ae3.jpg
165,信号、标志、标线与交警手势,880,这一组交通警察手势是什么信号？,B,B、减速慢行信号,https://www.aijiaxiao.com/tiba/880/,images/714330c4ba53e944.jpg
166,通行规则与让行,59,机动车在道路上变更车道需要注意什么？,B,B、不能影响其他车辆正常行驶,https://www.aijiaxiao.com/tiba/59/,
167,通行规则与让行,67,驾驶机动车在道路上向左变更车道时如何使用灯光？,C,C、提前开启左转向灯,https://www.aijiaxiao.com/tiba/67/,
168,通行规则与让行,68,驾驶机动车在道路上靠路边停车过程中如何使用灯光？,D,D、提前开启右转向灯,https://www.aijiaxiao.com/tiba/68/,
169,通行规则与让行,75,驾驶机动车在道路上超车完毕驶回原车道时开启右转向灯。,A,A、正确,https://www.aijiaxiao.com/tiba/75/,
170,通行规则与让行,76,驾驶机动车在道路上掉头时提前开启左转向灯。,A,A、正确,https://www.aijiaxiao.com/tiba/76/,
171,通行规则与让行,80,驾驶机动车在雾天行车开启雾灯和危险报警闪光灯。,A,A、正确,https://www.aijiaxiao.com/tiba/80/,
